,laptop_ID,Company,Product,TypeName,Inches,Screen Resolution,X_res,Y_res,Full HD,Quad HD+,4K Ultra HD,IPS,Touch Screen,CPU Name,CPU Freq (GHz),RAM (GB),HDD,SSD,Flash Storage,GPU,OS,Weight (kg),Price_euros
10,11,HP,250 G6,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,4,500,0,0,Intel HD Graphics,No OS,1.86,393.9
11,12,HP,250 G6,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,500,0,0,Intel HD Graphics,No OS,1.86,344.98999999999995
12,13,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.8,16,0,256,0,AMD Radeon,Mac,1.83,2439.9700000000007
13,14,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,256,0,AMD Radeon,Windows 10,2.2,498.90000000000015
14,15,Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,2304,1440,0,1,0,1,0,Intel Core M,1.2,8,0,256,0,Intel HD Graphics,Mac,0.92,1262.3999999999996
15,16,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,2.3,8,0,256,0,Intel Iris,Mac,1.37,1518.5499999999993
16,17,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,AMD Radeon,Windows 10,2.2,745.0000000000001
17,18,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.9,16,0,512,0,AMD Radeon,Mac,1.83,2858.0000000000005
18,19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.4,8,1000,0,0,Nvidia GeForce MX,No OS,2.2,499.00000000000006
19,20,Dell,XPS 13,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,1.6,8,0,128,0,Intel UHD Graphics,Windows 10,1.22,978.9999999999999
20,21,Asus,Vivobook E200HA,Netbook,11.6,1366x768,1366,768,1,0,0,0,0,Intel Atom,1.44,2,0,0,32,Intel HD Graphics,Windows 10,0.98,191.89999999999998
21,22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.5,999.0000000000003
22,23,HP,255 G6,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD E-Series,1.5,4,500,0,0,AMD Radeon,No OS,1.86,258.0
23,24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.62,819.0000000000002
24,25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel HD Graphics,Windows 10,1.91,659.0
25,26,Dell,Inspiron 3567,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,2.3,418.64000000000016
26,27,Apple,MacBook Air,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.6,8,0,0,128,Intel HD Graphics,Mac X,1.35,1098.9999999999998
27,28,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,AMD Radeon,Windows 10,2.2,799.9999999999999
28,29,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.9,8,0,512,0,Intel UHD Graphics,Windows 10,1.88,1297.9999999999995
29,30,HP,ProBook 470,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.5,895.9999999999999
30,31,Chuwi,"LapBook 15.6""",Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Atom,1.44,4,0,0,64,Intel HD Graphics,Windows 10,1.89,244.98999999999992
31,32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,1366,768,1,0,0,0,0,AMD E-Series,1.5,2,0,0,32,AMD Radeon,Windows 10,1.65,198.99999999999997
32,33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.5,4,500,0,0,AMD Radeon,Windows 10,2.71,439.00000000000006
33,34,Dell,XPS 13,Ultrabook,13.3,3200x1800,3200,1800,0,0,1,0,1,Intel Core i7,1.8,16,0,512,0,Intel UHD Graphics,Windows 10,1.2,1869.0000000000005
34,35,Apple,MacBook Air,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.6,8,0,0,256,Intel HD Graphics,Mac X,1.35,998.0000000000002
35,36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,0,0,64,Intel HD Graphics,Windows 10,1.44,248.99999999999994
36,37,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.7,4,1000,0,0,Intel HD Graphics,Linux,2.1,367.0000000000001
37,38,Dell,Inspiron 5770,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,1000,128,0,AMD Radeon,Windows 10,2.8,978.9999999999999
38,39,HP,250 G6,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Intel HD Graphics,Windows 10,1.86,488.69000000000005
39,40,HP,ProBook 450,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,Windows 10,2.1,878.9999999999998
40,41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Linux,2.0,388.99999999999983
41,42,Dell,Inspiron 7577,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.65,1499.0
42,43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,Nvidia GeForce MX,Linux,2.3,522.99
43,44,Acer,Aspire A515-51G,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,4,0,256,0,Intel UHD Graphics,Windows 10,2.2,682.0000000000001
44,45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i5,1.6,12,1000,0,0,Nvidia GeForce MX,Windows 10,2.77,999.0000000000003
45,46,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,2.0,8,0,256,0,Intel Iris,Mac,1.37,1419.0
46,47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,0,128,0,Intel HD Graphics,No OS,2.2,368.99999999999994
47,48,Asus,Rog Strix,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,AMD Processor,3.0,8,1000,256,0,AMD Radeon,Windows 10,3.2,1299.0000000000002
48,49,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,0,256,0,AMD Radeon,Windows 10,2.3,638.9999999999999
49,50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.1,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.8,465.99999999999983
50,51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,1920,1200,0,1,0,1,1,Intel Atom,1.44,4,0,0,64,Intel HD Graphics,Android,0.69,318.99999999999994
51,52,Acer,Aspire A515-51G,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,2.2,841.0000000000002
52,53,HP,255 G6,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.5,4,0,256,0,AMD Radeon,Windows 10,1.86,398.48999999999995
53,54,HP,ProBook 430,Notebook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,512,0,Intel UHD Graphics,Windows 10,1.49,1103.0000000000005
54,55,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.4,4,1000,0,0,Intel HD Graphics,Windows 10,2.4,384.0
55,56,Dell,Inspiron 3576,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,2.13,767.7999999999998
56,57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,128,0,Intel HD Graphics,Windows 10,1.91,439.00000000000006
57,58,Asus,VivoBook Max,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,4,0,256,0,Intel HD Graphics,Windows 10,2.0,586.1900000000002
58,59,MSI,GS73VR 7RG,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,2000,256,0,Nvidia GeForce GTX,Windows 10,2.43,2449.0
59,60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,256,0,Intel HD Graphics,Linux,2.0,414.99999999999983
60,61,Dell,Inspiron 5770,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,2000,256,0,AMD Radeon,Windows 10,2.8,1299.0000000000002
61,62,Dell,Vostro 5471,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.7,878.9999999999998
62,63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i3,2.7,8,0,256,0,Intel HD Graphics,No OS,1.7,598.9999999999999
63,64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.4,940.9999999999997
64,66,HP,250 G6,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.86,689.9999999999998
65,67,Asus,ZenBook Pro,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce GTX,Windows 10,1.8,1982.9999999999998
66,68,HP,250 G6,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,500,0,0,AMD Radeon,Windows 10,1.86,438.69
67,69,HP,Stream 14-AX040wm,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,0,32,0,Intel HD Graphics,Windows 10,1.44,229.00000000000006
68,70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Intel HD Graphics,Windows 10,1.9,548.9999999999999
69,71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,12,1000,0,0,Nvidia GeForce GTX,Linux,3.0,949.0000000000002
70,72,Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,2256,1504,0,1,0,0,1,Intel Core i5,2.5,4,0,128,0,Intel HD Graphics,Windows 10 S,1.252,1089.0
71,73,Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,1.4,955.0000000000001
72,74,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,2.2,870.0000000000002
73,75,MSI,GL72M 7RDX,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.7,1095.0000000000002
74,76,Acer,Aspire E5-475,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,8,1000,0,0,Intel HD Graphics,Windows 10,2.1,388.99999999999983
75,77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,0,0,Nvidia GeForce GTX,Windows 10,2.2,949.0000000000002
76,78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,2000,0,0,Intel HD Graphics,No OS,2.2,518.9999999999999
77,79,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,128,0,Intel UHD Graphics,Windows 10,2.02,854.9999999999998
78,80,Acer,Aspire A515-51G-32MX,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.7,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.2,530.0
79,81,HP,ProBook 470,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,128,0,Nvidia GeForce MX,Windows 10,2.5,976.9999999999995
80,82,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.88,1096.1600000000005
81,83,Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,2304,1440,0,1,0,1,0,Intel Core i5,1.3,8,0,512,0,Intel HD Graphics,Mac,0.92,1510.0000000000002
82,84,HP,ProBook 440,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel HD Graphics,Windows 10,1.63,859.9999999999999
83,85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.5,4,0,128,0,AMD Radeon,Windows 10,2.2,399.0000000000001
84,86,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,1000,0,0,AMD Radeon,Windows 10,2.1,395.00000000000006
85,87,Dell,Inspiron 7577,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,128,0,Nvidia GeForce GTX,Windows 10,2.65,1348.9999999999998
86,88,HP,Pavilion 15-CK000nv,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce GTX,Windows 10,1.83,698.9999999999999
87,89,HP,250 G6,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.96,598.99
88,90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,128,0,Nvidia GeForce GTX,Windows 10,2.2,1448.9999999999998
89,91,Dell,XPS 13,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.21,1649.0000000000002
90,92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD Processor,3.0,8,1000,0,0,AMD Radeon,Windows 10,2.45,698.9999999999999
91,93,Acer,Aspire 5,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.2,689.0000000000001
92,94,HP,Probook 430,Notebook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,0,512,0,Intel UHD Graphics,Windows 10,1.49,1196.9999999999995
93,95,Dell,Inspiron 7577,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.65,1194.9999999999995
94,96,Asus,Zenbook UX430UA,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.25,1049.0
95,97,Acer,Spin 5,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.5,847.0000000000003
96,98,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,AMD Radeon,Linux,2.2,599.9000000000001
97,99,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,256,0,AMD Radeon,Linux,2.2,485.00000000000006
98,100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.4,6,0,256,0,Nvidia GeForce M,Windows 10,2.0,577.0000000000001
99,102,HP,Omen 15-ce007nv,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,12,1000,128,0,Nvidia GeForce GTX,Windows 10,2.62,1249.0
100,103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,AMD Radeon,Windows 10,1.91,719.0000000000002
101,104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD E-Series,1.5,4,500,0,0,AMD Radeon,Windows 10,2.1,348.99999999999994
102,105,Dell,Inspiron 3576,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,AMD Radeon,Linux,2.2,647.0000000000002
103,106,HP,Envy 13-ad009n,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Nvidia GeForce MX,Windows 10,1.38,1118.9999999999998
104,107,Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,2256,1504,0,1,0,0,1,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10 S,1.252,1340.0
105,108,HP,Pavilion 14-BK001nv,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,6,0,256,0,Nvidia GeForce MX,Windows 10,1.58,659.0
106,109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,1.85,414.8999999999998
107,110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Nvidia GeForce MX,Windows 10,1.3,1192.9999999999998
108,111,MSI,GP62M 7REX,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.2,1299.0000000000002
109,112,Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.58,1479.9999999999998
110,113,Asus,VivoBook S15,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,1000,256,0,Nvidia GeForce MX,Windows 10,1.5,1261.9999999999995
111,114,Dell,XPS 13,Ultrabook,13.3,3200x1800,3200,1800,0,0,1,0,1,Intel Core i7,2.4,8,0,256,0,Intel Iris,Windows 10,1.23,1379.0000000000002
112,115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.37,1399.0000000000007
113,116,HP,Probook 440,Notebook,14.0,1366x768,1366,768,1,0,0,1,0,Intel Core i5,1.6,4,500,0,0,Intel UHD Graphics,Windows 10,1.63,721.9999999999998
114,117,Dell,XPS 13,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.21,1629.0
115,118,HP,Spectre x360,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.26,1398.9899999999996
116,119,HP,Probook 440,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,512,0,Intel UHD Graphics,Windows 10,1.63,1084.0000000000002
117,120,Dell,Inspiron 7570,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,1000,256,0,Nvidia GeForce MX,Windows 10,2.16,1130.3299999999995
118,121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.0,564.0000000000002
119,122,Asus,VivoBook S15,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,1.7,1118.0
120,123,Acer,Spin 3,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,1,Intel Core i3,2.4,6,1000,0,0,Intel HD Graphics,Windows 10,2.1,478.99999999999983
121,124,MSI,GS63VR 7RG,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,2000,256,0,Nvidia GeForce GTX,Windows 10,1.8,2241.4999999999995
122,125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce MX,No OS,2.2,629.0000000000002
123,126,HP,Probook 470,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,0,512,0,Nvidia GeForce MX,Windows 10,2.5,1271.0000000000002
124,127,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,0,256,0,AMD Radeon,Windows 10,2.1,451.0000000000001
125,128,HP,250 G6,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,500,0,0,Intel HD Graphics,No OS,1.86,258.9999999999999
126,129,HP,Probook 440,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,Intel UHD Graphics,Windows 10,1.63,812.0
127,130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,AMD E-Series,1.5,4,0,64,0,AMD Radeon,Windows 10 S,1.65,277.9900000000001
128,131,Dell,Inspiron 5770,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,2000,256,0,AMD Radeon,Windows 10,2.8,1396.0
129,132,HP,ProBook 470,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,2.5,928.0000000000001
130,133,Dell,Inspiron 5567,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,AMD Radeon,Windows 10,2.36,638.9899999999998
131,134,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,AMD Radeon,Windows 10,2.2,449.0000000000001
132,135,Acer,Swift 3,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.6,883.9999999999999
133,136,Acer,Aspire A515-51G-37JS,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.7,4,0,256,0,Nvidia GeForce MX,Windows 10,2.2,571.9999999999999
134,137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,Intel HD Graphics,Windows 10,2.05,597.9999999999998
135,138,HP,Probook 440,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.63,988.0000000000005
136,139,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,1000,0,0,Intel HD Graphics,No OS,1.9,252.3600000000001
137,140,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce GTX,Windows 10,3.0,937.9999999999999
